price_range_id,price_range_from,price_range_to
0,1041,501041
1,501041,1001041
2,1001041,1501041
3,1501041,2001041
4,2001041,2501041
5,2501041,3001041
6,3001041,3501041
7,3501041,4001041
8,4001041,4501041
9,4501041,5001041
10,5001041,5501041
11,5501041,6001041
12,6001041,6501041
13,6501041,7001041
14,7001041,7501041
17,8501041,9001041
15,7501041,8001041
16,8001041,8501041
